ovo,x_inicial,x_final,y_inicial,y_final
399,490,590,310,420
400,470,570,190,295
401,460,555,75,190
402,390,485,315,430
403,380,470,200,305
404,370,460,90,195
405,285,390,320,435
406,285,385,205,310
407,280,370,100,190
408,195,290,325,440
409,190,285,210,310
410,190,280,100,195
411,95,190,330,450
412,95,190,210,320
413,100,195,100,200
414,520,625,300,410
415,510,615,175,280
416,515,600,70,170
417,425,520,305,410
418,420,515,175,275
419,420,515,65,160
420,320,420,300,405
421,325,420,180,280
422,330,420,70,160
423,230,320,295,400
424,235,325,175,270
425,330,240,60,155
426,130,230,290,395
427,140,240,170,270
428,155,245,60,155
429,485,575,255,355
430,475,565,140,240
431,465,555,40,130
432,390,485,255,360
433,385,475,140,240
434,380,465,40,130
435,300,390,255,360
436,295,385,140,240
437,295,375,40,130
438,200,290,260,365
439,200,290,145,240
440,205,290,45,130
441,105,195,265,370
442,110,200,150,250
443,115,205,40,130
444,470,555,250,350
445,465,545,140,235
446,455,535,30,120
447,370,465,250,350
448,370,460,135,230
449,365,450,25,115
450,280,370,255,355
451,280,365,130,230
452,280,360,25,115
453,180,270,260,360
454,180,270,130,230
455,185,270,25,115
456,85,175,255,355
457,90,180,135,235
458,95,185,20,120
459,470,560,290,400
460,470,560,170,270
461,470,560,60,150
462,370,470,290,400
463,370,470,170,270
464,370,470,55,150
465,270,370,290,395
466,275,375,165,265
467,285,375,50,145
468,180,270,285,390
469,185,275,160,260
470,195,285,45,140
471,280,385,85,175
472,90,180,155,255
473,100,190,40,135
474,505,600,295,400
475,500,595,170,270
476,500,590,50,150
477,410,500,295,400
478,410,500,175,275
479,405,495,45,145
480,310,400,295,400
481,310,400,170,270
482,310,400,50,150
483,205,305,290,400
484,210,310,165,265
485,210,310,45,145
486,105,205,295,400
487,110,210,165,265
488,115,215,45,145
489,510,610,265,370
490,510,610,145,245
491,515,615,15,120
492,415,515,265,370
493,415,515,140,240
494,420,515,10,115
495,315,415,260,365
496,315,415,135,235
497,320,420,5,110
498,210,310,255,360
499,220,315,130,230
500,225,320,0,110
501,120,215,255,360
502,120,215,125,230
503,125,225,0,105
504,485,580,355,465
505,475,570,235,335
506,465,560,120,220
507,390,485,355,460
508,380,480,235,335
509,380,470,120,220
510,290,390,355,460
511,290,385,230,330
512,290,385,120,220
513,190,290,355,460
514,190,290,230,330
515,200,290,120,215
516,95,190,355,460
517,100,195,230,330
518,115,200,120,210
519,470,570,340,440
520,460,550,225,320
521,455,535,130,215
522,380,470,340,440
523,375,465,225,320
524,370,455,125,210
525,280,375,340,440
526,280,375,220,315
527,280,375,125,210
528,185,280,330,435
529,190,285,225,315
530,210,290,125,210
531,90,190,335,440
532,105,195,225,315
533,115,205,120,210
534,280,390,505,595
535,165,265,490,585
536,60,155,485,575
537,290,400,410,505
538,165,275,400,495
539,60,155,395,490
540,290,400,315,410
541,165,265,310,405
542,70,150,310,400
543,290,400,215,310
544,165,265,215,310
545,70,150,215,310
546,290,400,115,215
547,165,270,120,215
548,60,155,130,220
549,355,460,480,580
550,235,335,475,575
551,125,225,470,565
552,355,460,385,480
553,235,335,385,475
554,125,215,385,475
555,350,460,285,385
556,220,325,285,385
557,125,215,290,390
558,345,455,190,290
559,220,325,195,295
560,115,215,200,300
561,345,455,90,190
562,220,325,100,195
563,120,215,115,205
564,290,390,515,615
565,165,270,515,615
566,50,150,515,615
567,280,390,415,515
568,165,270,415,515
569,50,150,415,515
570,280,390,320,415
571,155,260,330,430
572,45,140,330,430
573,270,380,220,320
574,150,255,230,325
575,40,140,235,330
576,270,380,130,225
577,150,255,135,230
578,40,140,145,240
579,325,425,525,625
580,205,305,520,620
581,100,200,520,610
582,320,420,425,525
583,205,305,430,525
584,100,200,430,525
585,310,415,325,425
586,195,295,330,430
587,100,190,340,440
588,305,405,230,330
589,190,290,245,345
590,90,180,260,355
591,305,405,140,240
592,185,285,165,255
593,90,180,185,270
594,295,400,505,610
595,175,280,505,610
596,65,165,505,610
597,290,400,420,505
598,160,280,420,515
