N_OVO,P_OVO,AL_ALB,PH_ALB,P_GE,C_GE,YH,YD,YI,HU,F_Q,P_CA,MEDIA_E_CA,OV,L,B,W,L2,L4,D4,TEMPO,CL_PESO_Extra,CL_PESO_Grande,CL_PESO_Médio,CL_PESO_Pequeno,RK_A ,RK_AA,RK_B ,RK_C 
ovo1,59.9,6.9,8.1,14.401,6.0,13.4,39.7,0.338,83.1,4.76,5.555,0.37,1.0,57.13,43.74,0.0,28.57,14.28,37.19,0,0,1,0,0,0,1,0,0
ovo2,67.2,9.0,8.4,17.197,6.0,18.5,46.0,0.402,93.1,3.54,4.856,0.32,1.0,59.52,45.39,0.67,29.76,14.88,40.78,0,1,0,0,0,0,1,0,0
ovo3,67.8,8.3,8.1,16.137,5.0,17.6,39.7,0.443,89.3,3.78,6.37,0.39,3.0,59.53,45.73,0.68,29.77,14.88,38.36,0,1,0,0,0,0,1,0,0
ovo4,59.0,8.5,8.0,16.182,5.0,16.5,43.0,0.384,92.5,3.61,5.61,0.37,1.0,61.19,41.48,3.06,30.6,15.3,36.14,0,0,1,0,0,0,1,0,0
ovo5,65.5,6.8,8.8,15.553,6.0,16.8,41.0,0.41,80.7,4.62,6.227,0.37,1.0,58.44,44.76,0.99,29.22,14.61,39.17,0,1,0,0,0,0,1,0,0
ovo6,72.9,8.9,8.4,18.767,5.0,18.0,41.7,0.432,91.3,2.57,5.57,0.33,2.0,61.24,46.3,1.9,30.62,15.31,41.08,0,1,0,0,0,0,1,0,0
ovo7,54.2,7.0,9.0,15.092,6.0,16.3,41.0,0.398,85.4,3.73,5.187,0.37,1.0,55.14,42.27,-0.64,27.57,13.79,36.25,0,0,0,1,0,0,1,0,0
ovo8,59.4,8.5,8.7,17.096,6.0,17.5,43.3,0.404,92.4,3.35,5.541,0.38,1.0,54.43,44.16,1.92,27.22,13.61,37.1,0,0,1,0,0,0,1,0,0
ovo9,68.9,8.6,8.7,18.491,6.0,18.5,43.7,0.423,90.6,3.81,6.304,0.39,2.0,59.42,45.54,-0.5,29.71,14.86,40.39,0,1,0,0,0,0,1,0,0
ovo10,63.6,8.0,8.5,17.253,6.0,18.1,43.7,0.414,88.6,4.15,5.863,0.38,1.0,58.33,44.63,0.88,29.17,14.58,39.04,0,0,1,0,0,0,1,0,0
ovo11,62.0,8.4,8.5,16.208,6.0,17.3,41.3,0.419,91.2,3.35,5.822,0.37,1.0,58.5,43.62,-1.23,29.25,14.63,37.68,0,0,1,0,0,0,1,0,0
ovo12,61.4,7.9,8.6,16.846,6.0,17.8,42.7,0.417,88.7,3.72,5.609,0.35,1.0,57.82,43.82,0.0,28.91,14.46,37.78,0,0,1,0,0,0,1,0,0
ovo13,65.5,6.9,9.2,16.543,6.0,16.6,41.3,0.402,81.4,2.68,5.962,0.36,1.0,60.4,44.04,0.0,30.2,15.1,38.34,0,1,0,0,0,0,1,0,0
